Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Date extracted,Family,Genus,Species
Goodenia arthrotricha,-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Goodeniaceae,Goodenia,arthrotricha
Goodenia integerrima,Gypsum Goodenia,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Goodeniaceae,Goodenia,integerrima
Goodenia quadrifida,-,Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Goodeniaceae,Goodenia,quadrifida
Gossia fragrantissima,"Sweet Myrtle, Small-leaved Myrtle",Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Myrtaceae,Gossia,fragrantissima
Gossia gonoclada,Angle-stemmed Myrtle,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Myrtaceae,Gossia,gonoclada
Grammosolen odgersii subsp. occidentalis,"Western Woolly Cyphanthera, Western Cyphanthera",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Solanaceae,Grammosolen,odgersii
Grantiella picta,Painted Honeyeater,Vulnerable,Yes,Yes,Yes,Yes,Yes,-,Yes,-,Animalia,Aves,2026-Feb-06,Meliphagidae,Grantiella,picta
Graptophyllum ilicifolium,"Holly-leaved Graptophyllum, Mt Blackwood Holly",Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Acanthaceae,Graptophyllum,ilicifolium
Graptophyllum reticulatum,Veiny Graptophyllum,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Acanthaceae,Graptophyllum,reticulatum
Grevillea acanthifolia subsp. paludosa,Bog Grevillea,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,acanthifolia
Grevillea acropogon,-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,acropogon
Grevillea althoferorum,-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,althoferorum
Grevillea banyabba,-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,banyabba
Grevillea batrachioides,Mt Lesueur Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,batrachioides
Grevillea beadleana,Beadle's Grevillea,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,beadleana
Grevillea bedggoodiana,Enfield Grevillea,Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,bedggoodiana
Grevillea brachystylis subsp. australis,-,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,brachystylis
Grevillea brachystylis subsp. grandis,Large-flowered Short-styled Grevillea,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,brachystylis
Grevillea bracteosa subsp. howatharra,-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,bracteosa
Grevillea burrowa,Burrowa Grevillea,Critically Endangered,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,burrowa
Grevillea caleyi,Caley's Grevillea,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,caleyi
Grevillea calliantha,"Foote's Grevillea, Cataby Grevillea, Black Magic Grevillea",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,calliantha
Grevillea celata,"Colquhoun Grevillea, Nowa Nowa Grevillea",Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,celata
Grevillea christineae,Christine's Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,christineae
Grevillea corrugata,a shrub,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,corrugata
Grevillea curviloba subsp. curviloba,Curved-leaf Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,curviloba
Grevillea curviloba subsp. incurva,Narrow curved-leaf Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,curviloba
Grevillea dryandroides subsp. dryandroides,Phalanx Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,dryandroides
Grevillea dryandroides subsp. hirsuta,Hairy Phalanx Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,dryandroides
Grevillea elongata,Ironstone Grevillea,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,elongata
Grevillea evansiana,-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,evansiana
Grevillea flexuosa,Zig Zag Grevillea,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,flexuosa
Grevillea floripendula,"Drooping Grevillea, Ben Major Grevillea",Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,floripendula
Grevillea glossadenia,-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,glossadenia
Grevillea guthrieana,-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,guthrieana
Grevillea hodgei,Coochin Hills Grevillea,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,hodgei
Grevillea humifusa,Spreading Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,humifusa
Grevillea iaspicula,Wee Jasper Grevillea,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,iaspicula
Grevillea infecunda,Anglesea Grevillea,Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,infecunda
Grevillea infundibularis,Fan-leaf Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,infundibularis
Grevillea involucrata,Lake Varley Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,involucrata
Grevillea jephcottii,"Pine Mountain Grevillea, Green Grevillea",Endangered,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,jephcottii
Grevillea kennedyana,Flame Spider-flower,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,kennedyana
Grevillea maccutcheonii,McCutcheon's Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,maccutcheonii
Grevillea masonii,-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,masonii
Grevillea maxwellii,Maxwell's Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,maxwellii
Grevillea mollis,-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,mollis
Grevillea molyneuxii,-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,molyneuxii
Grevillea montis-cole subsp. brevistyla,Langi Ghiran Grevillea,Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,montis-cole
Grevillea murex,-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,murex
Grevillea obtusiflora,Grey Grevillea,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,obtusiflora
Grevillea parviflora subsp. parviflora,Small-flower Grevillea,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,parviflora
Grevillea pythara,Pythara Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,pythara
Grevillea quadricauda,-,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,quadricauda
Grevillea rara,Rare Grevillea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,rara
Grevillea raybrownii,-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,raybrownii
Grevillea rhizomatosa,-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,rhizomatosa
Grevillea rivularis,Carrington Falls Grevillea,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Grevillea,rivularis
